ID	Sex	BirthYear
S3947	NA	2019
S3948	NA	2019
S3950	NA	2019
S3956	NA	2019
S3961	NA	2019
S3964	NA	2019
S3965	NA	2019
S3967	NA	2019
S3969	NA	2019
S3972	NA	2019
S3973	NA	2019
S3982	NA	2018
S3983	NA	2019
S3987	NA	2019
S398	2	2016
S3990	1	2019
S3993	NA	2019
S3995	1	2019
S399	1	2016
S4001	NA	2019
S4002	NA	2019
S4003	NA	2019
S4004	NA	2019
S4005	NA	2019
S4006	NA	2019
S4007	NA	2019
S4008	NA	2019
S4009	NA	2019
S4010	NA	2019
S4012	NA	2019
S4013	NA	2019
S4014	NA	2018
S4015	NA	2019
S4016	NA	2019
S4017	NA	2019
S4018	NA	2019
S4019	1	2019
S4020	NA	2018
S4021	NA	2019
S4022	NA	2019
S4023	NA	2019
S4024	NA	2019
S4025	NA	2019
S4026	NA	2019
S4027	NA	2019
S4028	NA	2019
S4030	NA	2019
S4031	NA	2019
S4032	NA	2019
S4033	NA	2019
S4034	NA	2019
S4035	NA	2019
S4036	NA	2019
S4037	NA	2019
S4038	NA	2019
S4039	NA	2019
S4040	NA	2019
S4041	NA	2019
S4042	NA	2019
S4044	NA	2019
S4045	NA	2019
S4046	NA	2019
S4047	NA	2019
S4048	NA	2019
S4049	NA	2019
S4050	NA	2019
S4052	NA	2019
S4058	NA	2019
S4060	NA	2018
S4063	NA	2019
S4064	NA	2019
S4067	NA	2019
S4068	NA	2019
S4074	1	2019
S4076	NA	2019
S4080	NA	2019
S4088	1	2019
S40	NA	2014
S4103	NA	2019
S4104	NA	2019
S4105	1	2019
S4106	NA	2019
S4107	NA	2019
S4108	NA	2019
S4110	NA	2019
S4111	NA	2019
S4112	NA	2019
S4113	NA	2019
S4114	NA	2019
S4115	NA	2019
S4116	NA	2019
S4117	NA	2019
S4118	NA	2019
S4120	NA	2019
S4121	NA	2018
S4122	NA	2019
S4123	NA	2019
S4124	NA	2019
S4125	NA	2019
S4126	NA	2019
S4127	NA	2019
S4128	NA	2019
S4129	NA	2019
S4130	NA	2019
S4131	NA	2019
S4132	NA	2019
S4133	NA	2019
S4134	NA	2019
S4135	NA	2018
S4136	NA	2019
S4137	NA	2019
S4138	NA	2019
S4139	NA	2019
S4140	NA	2019
S4143	2	2018
S4145	1	2019
S4146	NA	2019
S4147	NA	2019
S4148	NA	2019
S4149	NA	2019
S4150	NA	2019
S419	2	2016
S42	NA	2014
S473	1	2015
S486	2	2014
S49	NA	2014
S507	1	2016
S512	2	2016
S514	2	2016
S518	2	2016
S522	2	2015
S524	2	2015
S52	1	2015
S530	2	2015
S53	NA	2015
S548	1	2015
S556	1	2016
S557	1	2016
S55	NA	2015
S580	2	2016
S583	2	2016
S591	2	2016
S599	2	2015
S59	2	2015
S603	2	2015
S60	NA	2015
S630	2	2016
S638	2	2016
S657	1	2016
S663	1	2016
S694	1	2016
S724	2	2014
S727	2	2016
S735	1	2016
S736	2	2016
S788	NA	2016
S789	2	2015
S794	2	2016
S799	2	2015
S817	2	2016
S821	2	2016
S826	1	2016
S844	2	2015
S849	2	2015
S866	1	2015
S869	2	2016
S889	1	2015
T24	2	2014
T2	2	2014
T327	2	2014
U450	1	2015
n1000	NA	2020
n1001	NA	2022
n1002	1	2022
n1003	NA	2021
n1004	NA	2022
n1005	NA	2022
n1006	NA	2022
n1007	NA	2022
n1008	1	2021
n1009	NA	2021
n1010	NA	2021
n1011	NA	2022
n1012	NA	2022
n1013	NA	2021
n1014	NA	2022
n1015	NA	2022
n1017	NA	2020
n1018	2	2021
n1019	NA	2021
n101	NA	2020
n1020	NA	2021
n1021	NA	2022
n1022	NA	2022
n1023	NA	2022
n1024	NA	2020
n1026	NA	2022
n1027	NA	2022
n1028	2	2021
n1029	NA	2021
n102	NA	2020
n1030	NA	2022
n1031	NA	2019
n1032	NA	2022
n1033	NA	2021
n1034	NA	2022
n1035	NA	2022
n1036	NA	2021
n1037	NA	2021
n1038	NA	2022
n103	NA	2020
n1040	NA	2021
n1041	NA	2022
n1043	NA	2022
n1044	NA	2022
n1045	NA	2022
n1046	2	2021
n1047	NA	2021
n1048	NA	2022
n1049	NA	2022
n104	NA	2020
n1050	NA	2021
n1051	NA	2021
n1052	NA	2022
n1053	NA	2022
n1054	NA	2022
n1055	NA	2022
n1056	NA	2022
n1057	NA	2022
n1058	1	2021
n1059	NA	2022
n105	NA	2020
n1060	1	2022
n1061	NA	2022
n1062	NA	2022
n1063	NA	2022
n1064	NA	2021
n1065	NA	2022
n1066	NA	2022
n1067	NA	2022
n1069	NA	2022
n106	NA	2019
n1070	NA	2022
n1071	NA	2022
n1072	NA	2022
n1073	NA	2022
n1074	NA	2021
n1075	NA	2022
n1076	NA	2022
n1077	2	2020
n1078	NA	2022
n1079	NA	2022
n107	NA	2020
n1080	NA	2022
n1081	NA	2022
n1082	1	2022
n1083	NA	2022
n1084	NA	2022
n1085	NA	2021
n1086	NA	2022
n1087	NA	2022
n1088	NA	2022
n1089	NA	2022
n108	NA	2020
n1090	NA	2022
n1091	2	2022
n1092	NA	2022
n1093	NA	2021
n1094	NA	2021
n1096	2	2022
n1097	NA	2022
n1098	NA	2022
n1099	NA	2022
n1100	NA	2022
n1101	NA	2022
n1102	NA	2021
n1103	NA	2022
n1104	NA	2022
n1105	NA	2022
n1107	1	2021
n1108	NA	2022
n1109	2	2022
n110	NA	2020
n1110	NA	2022
n1111	NA	2022
n1112	NA	2022
n1113	NA	2022
n1114	2	2020
n1115	1	2022
n1116	NA	2022
n1117	NA	2021
n1118	1	2021
n1119	NA	2022
n111	NA	2020
n1120	NA	2021
n1121	NA	2022
n1123	NA	2021
n1124	NA	2022
n1125	NA	2022
n1126	NA	2022
n1127	NA	2022
n1128	NA	2022
n1129	NA	2022
n112	NA	2020
n1130	2	2022
n1131	NA	2022
n1134	NA	2022
n1135	NA	2022
n1136	NA	2022
n1137	NA	2022
n1138	1	2022
n1139	NA	2022
n113	2	2020
n1140	1	2022
n1141	NA	2022
n1142	NA	2022
n1143	NA	2022
n1144	NA	2021
n1145	NA	2022
n1146	NA	2022
n1147	NA	2022
n1148	NA	2022
n1149	NA	2022
n114	NA	2019
n1150	NA	2022
n1151	NA	2022
n1152	1	2022
n1153	NA	2022
n1154	NA	2022
n1155	NA	2021
n1156	NA	2022
n1157	NA	2022
n1158	NA	2022
n1159	1	2021
n115	NA	2019
n1160	NA	2022
n1161	2	2022
n1162	2	2020
n1164	NA	2022
n1165	NA	2022
n1166	NA	2022
n1167	NA	2022
n1168	NA	2022
n1169	NA	2022
n116	1	2020
n1170	2	2022
n1171	NA	2022
n1172	NA	2022
n1173	NA	2022
n1174	NA	2022
n1175	2	2022
n1176	NA	2022
n1177	NA	2022
n1178	NA	2022
n1179	NA	2022
n117	NA	2020
n1180	NA	2022
n1181	NA	2022
n1182	NA	2021
n1183	2	2022
n1184	NA	2021
n1185	NA	2022
n1186	NA	2022
n1187	NA	2022
n1188	1	2022
n118	NA	2020
n1190	NA	2022
n1191	NA	2021
n1192	NA	2022
n1193	NA	2022
n1194	1	2021
n1195	NA	2022
n1196	NA	2022
n1197	NA	2021
n1198	NA	2022
n1199	NA	2022
n119	NA	2020
n1200	NA	2022
n1201	NA	2023
n1204	NA	2023
n1207	NA	2023
n1208	NA	2023
n120	NA	2020
n1210	NA	2023
n1212	NA	2023
n1218	NA	2023
n1219	NA	2023
n121	NA	2019
n1228	NA	2023
n1229	NA	2023
n122	NA	2020
n1230	NA	2023
n1231	NA	2023
n1238	NA	2023
n1239	NA	2023
n1245	NA	2023
n1248	NA	2023
n124	NA	2020
n1250	NA	2023
n1252	NA	2023
n1254	NA	2023
n1255	NA	2023
n1258	NA	2023
n125	NA	2020
n1260	NA	2023
n1262	NA	2023
n1264	NA	2023
n1265	NA	2023
n1268	NA	2023
n1269	NA	2023
n1270	NA	2023
n1271	NA	2023
n1275	NA	2023
n1277	NA	2023
n127	NA	2020
n1280	NA	2023
n1285	NA	2023
n1286	NA	2023
n1288	NA	2023
n128	NA	2020
n1293	NA	2023
n1294	NA	2023
n1298	1	2023
n129	NA	2020
n12	NA	2020
n1301	NA	2023
n1302	NA	2022
n1303	NA	2023
n1304	NA	2022
n1305	NA	2023
n1306	NA	2021
n1309	NA	2023
n130	NA	2020
n1311	NA	2022
n1312	1	2021
n1314	NA	2022
n1317	NA	2022
n131	NA	2020
n1320	NA	2022
n1322	NA	2022
n1325	NA	2022
n1326	NA	2022
n1327	NA	2022
n1328	NA	2022
n1329	NA	2022
n132	NA	2020
n1330	NA	2022
n1332	NA	2022
n1334	NA	2023
n1337	NA	2022
n1338	NA	2022
n133	NA	2020
n1340	NA	2022
n1342	NA	2022
n1343	NA	2022
n1344	NA	2022
n1346	NA	2022
n1348	NA	2022
n1349	NA	2022
n134	NA	2020
n1355	NA	2022
n1356	NA	2022
n1357	NA	2022
n1358	2	2020
n1359	2	2022
n135	NA	2020
n1360	1	2021
n1361	1	2023
n1364	NA	2022
n1365	NA	2022
n1366	NA	2021
n1367	NA	2022
n1368	1	2022
n1369	NA	2022
n136	NA	2020
n1372	NA	2022
n1376	NA	2022
n1377	NA	2022
n1378	NA	2021
n1379	NA	2021
n137	NA	2020
n1380	NA	2022
n1381	NA	2021
n1382	NA	2022
n1384	NA	2021
n1385	NA	2022
n1386	NA	2022
n1388	1	2021
n1389	NA	2022
n138	NA	2018
n1390	NA	2022
n1393	NA	2021
n1394	NA	2021
n1396	NA	2022
n1397	NA	2021
n1398	NA	2023
n1399	NA	2021
n139	NA	2020
n13	NA	2020
n1400	NA	2021
n1401	NA	2023
n1404	NA	2023
n1405	NA	2023
n1407	NA	2023
n1409	NA	2023
n140	NA	2020
n1414	NA	2023
n1416	NA	2023
n1417	NA	2023
n1418	NA	2023
n1419	NA	2023
n141	NA	2019
n1420	NA	2023
n1421	NA	2023
n1424	NA	2023
n1425	NA	2023
n1427	NA	2023
n1429	NA	2023
n142	1	2020
n1430	NA	2023
n1434	NA	2023
n1438	1	2023
n1439	NA	2023
n143	NA	2019
n1440	NA	2023
n1441	NA	2023
n1442	NA	2023
n1443	NA	2023
n1444	NA	2023
n1445	NA	2023
n1446	NA	2023
n1447	NA	2023
n1448	NA	2023
n144	NA	2019
n1452	NA	2023
n1455	NA	2023
n1456	NA	2023
n1458	NA	2023
n145	NA	2020
n1464	NA	2023
n1466	NA	2023
n146	NA	2020
n1470	NA	2023
n1471	NA	2023
n1472	NA	2023
n1473	NA	2023
n1474	NA	2023
n1477	NA	2023
n1478	NA	2023
n147	1	2020
n148	NA	2020
n1492	NA	2023
n1493	NA	2023
n1498	NA	2023
n1499	NA	2023
n14	NA	2020
n1501	NA	2021
